r,p,sample_size,population_r
0.2424331743937932,0.061996064311472095,60,0.15
-0.09257987670649938,0.4817140231035787,60,0.15
0.4319488467384485,5.684961581322521e-4,60,0.15
0.055765466987175445,0.6721490737553397,60,0.15
0.13961452582399006,0.28736428420372473,60,0.15
0.5069166110933294,3.57911159951601e-5,60,0.15
0.16727885199511447,0.20142486175023125,60,0.15
0.3309156564576663,0.009807414571969864,60,0.15
0.13390037158493445,0.30774189601656854,60,0.15
0.13982248341300757,0.28663980481334794,60,0.15
0.1787691625624144,0.17173553877816797,60,0.15
0.033895507466524366,0.7970982983429926,60,0.15
-0.002930489423618538,0.9822708652222507,60,0.15
0.15711677519491823,0.23057342717955062,60,0.15
0.21837111638428067,0.09369711475091798,60,0.15
0.17713209388014417,0.1757585473488501,60,0.15
-0.0672923980329308,0.6094494781991774,60,0.15
0.008170876461462492,0.9505939334240017,60,0.15
0.15946594750636964,0.2235890426708604,60,0.15
0.2718632787032591,0.03561463241704117,60,0.15
0.15874231063792835,0.22572461328958435,60,0.15
0.08563892949011326,0.5153055183563284,60,0.15
0.08432978481419341,0.5217713537855182,60,0.15
0.2821943143125616,0.028925930860361312,60,0.15
0.07092019470163731,0.5902538360652685,60,0.15
0.1834370062157056,0.1606337091780754,60,0.15
0.021872137638856596,0.8682539841169173,60,0.15
0.3218934463659469,0.012139267452034981,60,0.15
0.1162586238304736,0.376374236746043,60,0.15
0.2948320733155348,0.02220698916919595,60,0.15
0.19402884862894712,0.13741602729371247,60,0.15
0.2725215407759688,0.03515318177199128,60,0.15
0.0749079930811317,0.56947209764827,60,0.15
0.14394192395862854,0.2725361288031446,60,0.15
0.25314394160767295,0.050996324479992944,60,0.15
0.12948156129300822,0.3241231566512711,60,0.15
0.052723522546232665,0.689096030410682,60,0.15
0.059589401373000485,0.6510744574953433,60,0.15
0.024285551363382417,0.8538683317821203,60,0.15
0.33544206721042374,0.008791614987052951,60,0.15
-0.21178298791523828,0.10428191254718527,60,0.15
0.3246857383049032,0.011371186715807769,60,0.15
0.18021644078734325,0.1682351901892558,60,0.15
0.1374895745251566,0.2948360890142467,60,0.15
-0.09811751101795282,0.4557703357816586,60,0.15
0.0691651734851371,0.5995063031546511,60,0.15
0.09006806916454352,0.49373452160130504,60,0.15
0.20727241068449961,0.11204644859996975,60,0.15
0.251650625611775,0.05242687769683216,60,0.15
0.13316957287437198,0.3104135911079088,60,0.15
-0.006631713103056232,0.9598921223870194,60,0.15
0.10380986950346581,0.4299200051573647,60,0.15
0.2208776227577326,0.08989787407682566,60,0.15
0.22682768328571032,0.08136243055094648,60,0.15
0.006789272395597926,0.9589400310969316,60,0.15
-0.03892488174311549,0.7677798648515901,60,0.15
0.2643805060979201,0.041222947956641075,60,0.15
0.19763831623695496,0.13010954783718975,60,0.15
0.08381455230927727,0.5243271716207347,60,0.15
0.010960120616205151,0.9337614506059385,60,0.15
0.2833032026907529,0.028275147334789478,60,0.15
0.1381110920177059,0.29263769784711624,60,0.15
-0.16927567155941958,0.1960196916398899,60,0.15
0.42176257747821466,0.06399204963403479,20,0.25
-0.10082409093104833,0.6723342690007446,20,0.25
0.03706309086799613,0.8767179145818058,20,0.25
0.14471227782305635,0.542710040187919,20,0.25
0.07084184592713,0.7666285598966939,20,0.25
0.3350770642755093,0.14869344993815606,20,0.25
